Year,Month,Anomaly,Date,Max,Min
1812,12,-2,1812-12,,
1813,1,-3.547,1813-1,,
1813,2,-1.011,1813-2,,
1813,3,-3.725,1813-3,,
1813,4,-0.138,1813-4,,
1813,5,0.079,1813-5,,
1813,6,-0.489,1813-6,,
1813,7,-0.112,1813-7,,
1813,8,-0.829,1813-8,,
1813,9,0.229,1813-9,,
1813,10,-0.621,1813-10,,
1813,11,0.76,1813-11,,
1813,12,-1.287,1813-12,,
1814,1,-0.667,1814-1,,
1814,2,-1.382,1814-2,,
1814,3,-2.66,1814-3,,
1814,4,-1.295,1814-4,,
1814,5,-2.035,1814-5,,
1814,6,-0.798,1814-6,,
1814,7,-1.863,1814-7,,
1814,8,-1.065,1814-8,,
1814,9,-1.402,1814-9,,
1814,10,-1.611,1814-10,,
1814,11,0.767,1814-11,,
1814,12,2.629,1814-12,,
1815,1,-0.544,1815-1,,
1815,2,-0.84,1815-2,,
1815,3,-1.554,1815-3,,
1815,4,-1.732,1815-4,,
1815,5,-1.493,1815-5,,
1815,6,-2.38,1815-6,,
1815,7,-0.011,1815-7,,
1815,8,-0.526,1815-8,,
1815,9,-0.822,1815-9,,
1815,10,-1.918,1815-10,,
1815,11,-2.087,1815-11,,
1815,12,-2.354,1815-12,,
1816,1,0.345,1816-1,,
1816,2,-2.531,1816-2,,
1816,3,-1.362,1816-3,,
1816,4,-0.62,1816-4,,
1816,5,-0.7,1816-5,,
1816,6,-1.859,1816-6,,
1816,7,-2.026,1816-7,,
1816,8,-1.2,1816-8,,
1816,9,-1.618,1816-9,,
1816,10,-3.505,1816-10,,
1816,11,-1.891,1816-11,,
1816,12,-2.363,1816-12,,
1817,1,-0.784,1817-1,,
1817,2,0.643,1817-2,,
1817,3,-0.564,1817-3,,
1817,4,-0.12,1817-4,,
1817,5,-1.801,1817-5,,
1817,6,-2.401,1817-6,,
1817,7,-2.253,1817-7,,
1817,8,-0.528,1817-8,,
1817,9,-3.326,1817-9,,
1817,10,-3.002,1817-10,,
1817,11,-1.21,1817-11,,
1817,12,-3.081,1817-12,,
1818,1,-1.24,1818-1,,
1818,2,-2.269,1818-2,,
1818,3,0.248,1818-3,,
1818,4,1.481,1818-4,,
1818,5,-0.283,1818-5,,
1818,6,0.175,1818-6,,
1818,7,-0.918,1818-7,,
1818,8,-0.592,1818-8,,
1818,9,-1.557,1818-9,,
1818,10,-2.639,1818-10,,
1818,11,-0.895,1818-11,,
1818,12,-0.87,1818-12,,
1819,1,-1.256,1819-1,,
1819,2,-0.838,1819-2,,
1819,3,-2.258,1819-3,,
1819,4,-1.239,1819-4,,
1819,5,-1.196,1819-5,,
1819,6,-0.933,1819-6,,
